INFO  - 2013-12-04 19:46:07.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-12-04 19:46:07.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-12-04 19:46:07.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-12-04 19:46:07.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2013-12-04 19:46:07.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-12-04 19:46:07.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-12-04 19:46:07.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-12-04 19:46:08.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-12-04 19:46:08.001; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/dist/solr-clustering-4.6.0.jar' to classloader
INFO  - 2013-12-04 19:46:08.001; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-12-04 19:46:08.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-12-04 19:46:08.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/dist/solr-langid-4.6.0.jar' to classloader
INFO  - 2013-12-04 19:46:08.005; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-12-04 19:46:08.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-12-04 19:46:08.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-12-04 19:46:08.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-12-04 19:46:08.010; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/dist/solr-velocity-4.6.0.jar' to classloader
INFO  - 2013-12-04 19:47:03.223; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-04 19:47:03.228; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2013-12-04 19:47:03.357; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-04 19:47:03.363; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-04 19:47:04.222; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-04 19:47:04.824; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-12-04 19:47:05.957; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-04 19:47:06.180; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-04 19:47:18.501; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-04 19:47:18.510; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/home/Downloads/solr-4.6.0/example/solr/collection1/, dataDir=/home/home/Downloads/solr-4.6.0/example/solr/collection1/data/
INFO  - 2013-12-04 19:47:18.511; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-04 19:47:18.517; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-04 19:47:18.517; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-12-04 19:47:18.897; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/home/Downloads/solr-4.6.0/example/solr/collection1/data
INFO  - 2013-12-04 19:47:18.897; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index/
WARN  - 2013-12-04 19:47:18.898; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-12-04 19:47:18.907; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index
INFO  - 2013-12-04 19:47:38.308; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@1aa632be; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-04 19:47:38.309; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-04 19:47:38.318; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-12-04 19:47:38.319; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-12-04 19:47:38.322; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-12-04 19:47:38.330; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-12-04 19:47:38.330; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-12-04 19:47:38.397; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-12-04 19:47:38.405; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.405; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.406; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-12-04 19:47:38.407; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.409; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2013-12-04 19:47:38.418; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-04 19:47:38.419; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2013-12-04 19:47:38.421; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-04 19:47:38.421; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
